squareMeters,rooms,floor,floorCount,latitude,longitude,centreDistance,poiCount,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price,type_numeric,condition_numeric,city_numeric,floor_ratio,price_per_sqm,is_high_floor,log_price,comfort_score,uuid,split
0.31216666666666665,0.4,0.2,0.10344827586206896,53.4222355,14.5417788,0.064,0.38,False,True,False,False,True,675000,0.0,0.5,1.0,1.0,1.0,1,13.42246945133505,0.4,a2687a4baaa48044d25119d3e8dde9c6,train
0.14166666666666666,0.4,0.1,0.10344827586206896,53.45580911,14.53805351,0.1955,0.2,False,False,False,False,True,499000,0.0,0.5,1.0,0.5,1.0,0,13.120363378739663,0.2,c7317788b7c9f65d767ad8e677ea1de7,train
0.6233888888888889,1.0,0.15,0.10344827586206896,53.4273184,14.543117,0.063,1.0,False,False,False,False,True,795000,0.3333333333333333,0.5,1.0,0.75,1.0,1,13.586098651497313,0.2,52e1810bf55f662b9d02964f8cf1ad3d,train
0.02822222222222221,0.0,0.25,0.13793103448275862,53.432222,14.555833,0.052000000000000005,0.94,False,False,True,False,False,309000,0.3333333333333333,0.5,1.0,1.0,1.0,1,12.6410997921206,0.2,8db5ab924f8499c920bad903761dd721,train
0.17650000000000002,0.4,0.35,0.3103448275862069,53.432222,14.555833,0.052000000000000005,0.94,False,False,True,False,True,409000,0.0,0.5,1.0,0.7,1.0,0,12.921472880009725,0.4,5667240dd7eb29713d07bfee401e05ce,val
0.33055555555555555,0.4,0.2,0.13793103448275862,53.4222,14.5565,0.016,1.0,False,True,True,False,False,870000,0.6666666666666666,0.5,1.0,0.8,1.0,1,13.676249640055394,0.4,9c572ac96a395e98e8335f5f7466b0d4,train
0.22611111111111112,0.4,0.05,0.10344827586206896,53.4352,14.5636,0.066,0.26,False,True,False,False,False,450000,0.0,0.5,1.0,0.25,1.0,0,13.017005083966255,0.2,2dcad0f99fed10e77fbc56847c408290,train
0.2777777777777778,0.2,0.15,0.10344827586206896,53.4307,14.4844,0.257,0.02,True,True,False,False,False,370000,0.0,0.5,1.0,0.75,1.0,1,12.821260987319457,0.4,d96ca644f596e4b9de45302ad67e4200,train
0.18294444444444444,0.2,0.15,0.10344827586206896,53.4231,14.5421,0.0625,0.4,False,True,False,False,True,585000,0.3333333333333333,0.5,1.0,0.75,1.0,1,13.279368835614243,0.4,8d43796bd5c922402ae1e6f13e8cb5a8,val
0.15555555555555556,0.2,0.2,0.10344827586206896,53.4032593,14.5198134,0.1765,0.18,False,True,False,False,True,449000,0.0,0.5,1.0,1.0,1.0,1,13.014780393893403,0.4,b1a2d3ec384f692a6530e4b0413f97f5,test
0.14166666666666666,0.4,0.1,0.10344827586206896,53.4559,14.5391,0.1945,0.2,False,True,False,False,True,499000,0.0,0.5,1.0,0.5,1.0,0,13.120363378739663,0.4,cbab73ba0e7bb83fee14981f67502697,train
0.2513888888888889,0.6,0.05,0.3793103448275862,53.4544245,14.5627738,0.17250000000000001,0.3,False,False,True,False,True,685000,0.0,0.5,1.0,0.08333333333333333,1.0,0,13.437175577097312,0.4,e6f36d5745d403f277c3bec8514a620d,test
0.20755555555555555,0.2,0.1,0.10344827586206896,53.43157,14.61499,0.1845,0.0,False,False,True,False,False,690000,0.6666666666666666,0.5,1.0,0.5,1.0,0,13.444448325847754,0.2,ec46a1c73592ebb598a23acd7f7467b9,train
0.3837777777777778,0.6,0.1,0.034482758620689655,53.4772951,14.5412244,0.3065,0.02,True,True,False,False,False,849000,0.0,0.5,1.0,1.0,1.0,1,13.651815643149092,0.4,20cf57c55946d853fed7aa72e8e86ab7,test
0.23538888888888887,0.2,0.1,0.06896551724137931,53.4312283,14.56394832,0.0445,0.36,True,False,False,False,True,539000,0.3333333333333333,0.5,1.0,0.6666666666666666,1.0,0,13.197472705176983,0.4,21008742c868a7f4d7cd8dcea37b1161,train
0.20555555555555555,0.6,0.1,0.06896551724137931,53.453566,14.474175,0.333,0.08,False,False,False,False,False,610000,0.0,0.5,1.0,0.6666666666666666,1.0,0,13.321215875492413,0.0,a7330a658f046f639fee1085a37eb015,train
0.5863333333333334,0.8,0.05,0.10344827586206896,53.43226655,14.54053887,0.08349999999999999,1.0,False,False,False,False,True,999000,0.3333333333333333,0.5,1.0,0.25,1.0,0,13.81451105863119,0.2,0b32fdc527ecdd58a52c95571873bf62,val
0.1038888888888889,0.2,0.05,0.10344827586206896,53.4308373,14.5419351,0.0755,1.0,False,True,False,False,False,460000,0.3333333333333333,0.5,1.0,0.25,1.0,0,13.038983942375959,0.2,b5ce18c5c9f460538e36773845d4637c,test
0.1407777777777778,0.2,0.1,0.896551724137931,53.4368668,14.5530096,0.0795,0.7,False,False,True,False,False,750000,0.6666666666666666,0.5,1.0,0.07407407407407407,1.0,0,13.527829818844937,0.2,36a6cac5e19ce74909a0379ae82b74fb,train
0.20944444444444446,0.6,0.1,0.06896551724137931,53.4529578,14.47325005,0.33399999999999996,0.04,True,False,False,False,False,610000,0.0,0.5,1.0,0.6666666666666666,1.0,0,13.321215875492413,0.2,fb6f5f39a3190a74bedf7bfef7d94845,test
0.056666666666666664,0.0,0.15,0.1724137931034483,53.41485673,14.54063414,0.08249999999999999,0.1,False,False,True,False,False,445000,0.0,0.5,1.0,0.5,1.0,0,13.005831808336863,0.2,cb290df2fd3935acb358657f9669c117,train
0.3144444444444444,0.4,0.05,0.034482758620689655,53.49572043,14.59880447,0.421,0.0,True,True,False,False,False,899000,0.6666666666666666,0.5,1.0,0.5,1.0,0,13.70903942580019,0.4,f3b3ce0c557b0f11b7cfdaa484caef35,train
