id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
ae71b60d3f0ae716013c4c53d5b18b28,warszawa,blockOfFlats,77.1,4.0,4.0,9.0,1986.0,52.2554823,21.041181,3.68,46.0,0.233,0.192,0.383,0.094,0.043,0.38,0.207,cooperative,yes,yes,yes,no,yes,1015000
70f0c28d5cf285e4672e85b0a12deb8c,wroclaw,apartmentBuilding,50.46,2.0,1.0,4.0,2020.0,51.0564901,17.0552568,6.28,1.0,1.653,2.157,0.911,0.689,0.4,3.141,0.582,condominium,no,yes,yes,no,no,679000
70bbfeb6833bd8cbd8709b635bd88f3a,gdansk,apartmentBuilding,46.8,2.0,16.0,17.0,2006.0,54.41067,18.60173,7.62,19.0,0.207,1.583,0.257,0.065,0.099,2.053,0.223,condominium,no,no,yes,yes,no,1399000
75dd794f2245e9f468c99279a564687d,gdansk,apartmentBuilding,31.51,2.0,3.0,6.0,2013.0,54.35442,18.6561,0.57,65.0,0.075,0.5,0.091,0.232,0.163,0.367,0.402,condominium,no,no,yes,no,no,750000
150ff817ea93e3f1a4674d71d52e7713,gdansk,tenement,99.47,4.0,1.0,2.0,1910.0,54.40935,18.56951,8.64,5.0,0.534,0.481,0.735,0.531,0.162,0.831,0.134,condominium,no,yes,no,yes,yes,1248000
35318d51853c9f5c999fca9030e2813a,warszawa,blockOfFlats,29.0,2.0,10.0,16.0,1970.0,52.21051,21.00987,2.4,11.0,0.322,0.509,0.329,0.053,0.387,0.476,0.422,condominium,no,yes,yes,no,yes,579000
7f02f91a068b04068fe55a69b7c1ffed,warszawa,apartmentBuilding,45.0,2.0,1.0,8.0,2018.0,52.18482,20.99216,5.27,19.0,0.734,0.068,0.638,0.337,0.055,1.122,0.315,condominium,no,yes,yes,no,no,949000
19d8f60fd4c1335bbeb1806472bf59e8,warszawa,apartmentBuilding,53.14,2.0,4.0,9.0,2017.0,52.227753,20.9836302,1.43,24.0,0.425,0.206,0.221,0.075,0.025,1.732,0.447,condominium,yes,yes,yes,no,no,1560000
e43521916f0f0a45a1b694d34bffe5c9,lodz,blockOfFlats,45.0,3.0,2.0,4.0,1980.0,51.72585812,19.49747055,6.85,2.0,0.473,1.021,0.885,0.476,0.748,2.062,0.535,condominium,no,yes,yes,no,yes,479000
123ad300913c450f6e7aeeef61c6e9ce,poznan,blockOfFlats,64.59,3.0,6.0,6.0,2023.0,52.39645,16.96403,2.31,12.0,0.659,0.541,0.075,0.117,0.104,1.776,0.029,condominium,no,yes,yes,yes,no,869000
